店铺ID,店铺名称,销售,收入,创建,发布
500259,河南昕金立文化传媒有限公司,3039.4,2127.58,0,144
500520,山东步步维赢文化传媒有限公司,146.8,102.76,0,0
500483,湖北浩然盛锦文化传媒有限公司,27,18.9,0,0
500583,梁山博圣图书有限公司,535.8,375.06,0,0
500465,太原市后土文化传媒有限公司,118.2,82.74,0,0
500452,合肥亚泰嘉和文化传播有限公司,80.9,56.63,0,0
500509,河北启光教育科技有限公司,1063.28,744.21,1,9
500582,志恒文化传媒（北京）有限公司,110,77,0,0
500423,山西晋一教育科技有限公司,343.9,240.72,0,0
500574,山东义博海越文化传媒有限公司,0,0,0,0
500530,北京点石新语文文化发展有限公司,471.94,330.35,0,0
500506,广州速进文化发展有限公司,28,19.6,0,0
900001,肃宁县东信教育书店,6.2,4.34,0,0
500203,四川汇合明聚教育科技有限公司,3,1.2,0,0
500517,郑州瀚海文化传播有限公司,0,0,0,0
500281,湖北远成文化传播有限公司,3,2.1,0,0
500552,滨州儒乾文化传媒有限公司,159.5,111.65,0,0
500443,云南孝全文化传播有限公司,24,16.8,0,0
500247,山东毫末教育科技有限公司,6,4.2,0,0
500220,北京良石嘉业文化发展有限公司,2,1.4,0,0
500260,北京元申教育科技有限公司,8,3.2,0,0
500577,《英语周报》社有限公司,3,1.5,0,0
500449,吉林梓耕教育科技股份有限公司,8,4,0,0
800028,山东教育出版社有限公司,0,0,0,0
500674,上海天禾图书有限公司,0,0,0,0
500384,梁山儒舟文化传媒有限公司,0,0,0,0
500492,智品天下图书（北京）有限公司,0,0,0,0
500437,四川百鸣教育科技有限公司,0,0,0,0
500252,湖北大鑫文化传媒有限公司,0,0,0,0
500503,河南金书文化传播有限公司,0,0,0,0
500472,深圳泰微课教育科技有限公司,0,0,0,0
500427,长春市天源图书有限责任公司,3,2.1,0,0
500581,四川省万树文化传播有限公司,6,4.2,0,0
800029,湖南教育音像电子出版社有限责任公司,0,0,0,0
500529,北京市育学林教育技术有限公司,0,0,0,0
500638,北京润学漫华文化传播有限公司,0,0,0,0
500460,河南三之三教育科技有限公司,0,0,0,0
500496,南京师文教育咨询中心,0,0,0,0
800027,长春东北师范大学出版社有限责任公司,0,0,0,0
500405,山西文海泉文化传播有限公司,0,0,0,0
500428,山东文泉文化传媒有限公司,0,0,0,0
500448,山西圣典华章文化传媒有限公司,0,0,0,0
500385,杭州蓝鲸图书有限公司,0,0,0,0
500522,山东沐彤教育科技有限公司,0,0,0,0
500580,河南宣雨教育图书有限公司,215.2,107.6,0,0
500516,山西华海浩宇文化传播有限公司,0,0,0,0
500401,江苏文泉图书文化有限公司,0,0,0,0
500383,河北文博教育科技集团有限公司,0,0,0,0
500445,太原市亿典教育科技有限公司,0,0,0,0
500556,山东慧林文化传媒有限公司,0,0,0,0
500337,河南硕源教育咨询有限公司,0,0,0,0
500474,安阳市超世通文化传媒有限公司,0,0,0,0
500364,哈尔滨多森文化传播有限公司,0,0,0,0
500524,北京思齐弘天文化发展有限公司,0,0,0,0
500424,陕西时代盛秦图书有限责任公司,0,0,0,0
500564,梁山华维科技文化发展有限公司,0,0,0,0
500213,重庆课堂内外杂志社出版有限公司,0,0,0,0
500672,崇文书局有限公司,0,0,0,0
500554,分之道教育网络科技有限公司,0,0,0,0
500665,黑龙江德亚文化传媒有限公司,0,0,0,0
500653,河南九铭文教图书发行有限公司,0,0,0,0
500652,武汉华师师源图书有限公司,0,0,0,0
500487,河南文友图书发行有限公司,0,0,0,0
500257,北京王后雄教育科技有限公司,0,0,0,0
500521,四川精志愿教育科技有限公司,0,0,0,0
500655,微课时代（北京）文化传媒有限公司,0,0,0,0
500666,宿迁市宿城区巨鼎教育培训中心有限公司,0,0,0,0
500640,振坤翰苑（北京）图书有限公司,0,0,0,0
500641,无锡市博才培训中心有限公司,0,0,0,0
500575,百年育才（北京）教育咨询集团股份有限公司,0,0,0,0
500455,新疆星润文化传媒有限公司,0,0,0,0
500584,徐州主合教育科技有限公司,0,0,0,0
500669,山东盛博苑图书有限公司,0,0,0,0
500339,山东鼎鑫书业有限公司,14562.96,12653.88,0,1449
500162,郑州荣恒图书发行有限公司,21621.59,15134.74,101,2277
500161,西安玖典文创科技有限公司,2467.7,1727.39,0,18
500313,山东瀚海书韵教育科技有限公司,305,213.5,0,0
500345,广州翰庭文化传媒有限公司,99.4,69.58,0,0
500297,河南文轩文化传播有限公司,208.2,145.74,0,0
500254,成都康达书业有限公司,52.4,36.68,0,0
500372,广州百试乐文化教育有限公司,26.2,18.34,0,0
500393,湖北海韵文化传媒有限公司,10,7,0,0
500425,昆明书屯文化传播有限公司,5.5,3.85,0,0
500694,重庆智琅图书有限公司两江新区分公司,3,2.1,0,0
500302,河北艾玛文化发展有限公司,2,1.4,0,0
500320,梁山县文轩图书有限公司,2,1.4,0,0
500368,武汉乐学天成文化传播有限公司,13,9.1,0,0
500319,山东志鸿超仁图书有限公司,11,7.7,0,0
500262,广东易杰教育研究有限公司,15,10.5,0,0
500315,山东学苑文化传媒有限责任公司,0,0,0,0
500172,陕西灰犀牛图书策划有限公司,40097.46,28067.98,7,440
500376,江西宇恒文化发展有限公司,10462.28,7323.59,29,447
500173,河北金卷教育科技有限公司,6167.7,4317.39,0,25
