店铺ID,店铺名称,2024年1月,2024年2月,2024年3月,2024年4月,2024年5月,2024年6月,2024年7月,2024年8月,2024年9月,2024年10月,2024年11月,2024年12月,2025年1月,2025年2月,2025年3月,2025年4月,2025年5月,2025年6月,2025年7月,2025年8月,2025年9月,2025年10月,2025年11月,2025年12月,2026年1月,2026年2月,2026年3月,2026年4月,2026年5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501751,昆明初莫文化传播有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501571,河北鸿硕教育科技有有限公司,0,0,0,0,0,0,0,0,0,0,90.16,1975.68,377.72,388.5,91,396.48,1346.92,595.84,22.4,2.8,390.04,927.08,989.38,1792.98,765.24,96.6,733.88,417.48,676.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501237,兰州书志文化传播有限公司,0,0,0,0,0,0,0,0,0,327.6,145.32,96.6,36.12,126,105,29.4,29.4,0,0,4.2,0,0,0,195.72,134.4,6.72,176.4,52.92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501416,河南超图教育科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501415,中数数字科技（山东）有限公司,0,0,0,0,0,0,0,0,0,0,3845.6,1623.1,827.96,516.61,327.2,183,271,277.65,387.65,266.51,264.75,172.65,177.4,146.74,66.55,55.5,31,24.5,117.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501236,宁波涌济文化发展有限公司,0,0,0,0,0,0,0,0,0,771.96,699.72,840.7,328.44,404.46,925.4,913.01,1568,1874.5,916.93,320.23,299.5,472.12,628.32,1591.3,2836.85,2748.06,1509.34,768.24,837.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501085,广东宾博文化传播有限公司,0,0,0,0,0,0,0,0,155.54,171.22,237.58,118.3,161.28,78.4,32.34,86.8,9.94,19.04,35.7,6.3,16.1,2.8,6.02,29.4,0,17.92,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501234,安徽振乾文化传媒有限公司,0,0,0,0,0,0,0,0,125.16,409.22,334.18,167.44,198.94,201.6,292.04,235.2,204.96,185.78,39.2,22.4,16.8,190.56,141.96,187.18,37.8,23.1,85.54,96.18,115.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500775,杭州润游图书有限公司,0,0,0,0,0,0,0,184.8,2268,679.28,1036,1039.64,355.6,299.32,444.92,872.9,1366.68,1219.82,396.1,287,216.3,229.32,192.78,613.06,146.72,90.16,266,238,351.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501086,四川省教育电子音像出版社有限公司,0,0,0,0,0,0,0,0,0,184.24,140,44.24,44.8,196,138.6,41.44,33.88,26.04,16.52,1.4,88.2,9.8,4.2,7,8.4,0,11.2,21,17.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500774,上海汇熙文化传播有限公司,0,0,0,0,0,0,0,0,175.98,112.28,91.7,62.58,71.4,54.04,43.96,24.93,31.5,29.4,5.88,2.8,12.6,4.2,69.44,126.7,3.5,16.8,7,6.72,10.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
