店铺ID,店铺名称,2024年1月,2024年2月,2024年3月,2024年4月,2024年5月,2024年6月,2024年7月,2024年8月,2024年9月,2024年10月,2024年11月,2024年12月,2025年1月,2025年2月,2025年3月,2025年4月,2025年5月,2025年6月,2025年7月,2025年8月,2025年9月,2025年10月,2025年11月,2025年12月,2026年1月,2026年2月,2026年3月,2026年4月,2026年5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501236,宁波涌济文化发展有限公司,0,0,0,0,0,0,0,0,0,1102.8,999.6,1201,469.2,577.8,1429,1328.3,2272,2691.9,1309.9,517.48,533.9,782.6,984.6,2402.76,2964.22,3925.8,2156.2,1097.49,1196.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501085,广东宾博文化传播有限公司,0,0,0,0,0,0,0,0,222.2,244.6,339.4,173,233.4,112,146.2,223,14.2,27.2,51,27,23,4,8.6,42,0,25.6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501234,安徽振乾文化传媒有限公司,0,0,0,0,0,0,0,0,178.8,584.6,477.4,247.2,284.2,292,425.2,344,324.8,265.4,56,40,24,272.23,202.8,267.4,54,33,122.2,137.4,165.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500775,杭州润游图书有限公司,0,0,0,0,0,0,0,264,3240,970.4,1488,1485.2,556,435.6,635.6,1287,2074.4,1814.6,726.6,410,309,333.6,275.4,875.8,209.6,128.8,380,340,501.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
501086,四川省教育电子音像出版社有限公司,0,0,0,0,0,0,0,0,0,263.2,200,65.2,64,280,202,59.2,48.4,37.2,23.6,2,126,14,6,10,12,0,16,30,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500774,上海汇熙文化传播有限公司,0,0,0,0,0,0,0,0,251.4,160.4,131,89.4,102,82.2,83.8,35.64,45,42,8.4,4,18,6,99.2,181,5,24,10,9.6,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500779,河南王瑞教育科技有限公司,0,0,0,0,0,0,0,0,465,107.2,111.4,147,267,130.5,101.8,1735,2182.66,942.1,108.4,16,28.8,23,45.8,48.4,43,125.6,78,95,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500772,重庆大学电子音像出版社有限公司,0,0,0,0,0,0,0,342.4,902.8,611.2,371.6,210.2,175.4,222.2,257.8,127.4,263.1,333,96.8,322.5,188.5,103.9,151.9,350.6,179.7,49,133,21.88,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500769,山东状元桥文化传播有限公司,0,0,0,0,0,0,0,958.6,1388.8,452.2,353.2,226.8,166,256.6,232.8,58.8,88,12,73.6,16,41,77.2,28.2,23,5.2,37.8,10,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500768,北京一本通文化传媒有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500746,北京清北华杰文化科技有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500770,石家庄朗诚文化传媒有限公司,0,0,0,0,0,0,113.6,98.8,30.4,2,14,4,120.4,249.2,98,40.8,21.6,6,39.2,4,2,0,2,0,0,8,3.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500745,深圳天骄文化传播有限公司,0,0,0,0,0,1110.6,37962.8,16926.4,11807.8,7729.6,23896.3,21445.6,14745.6,10859.6,10745.58,6410.91,17183.88,15380.62,11347.36,7117.52,5252.28,7248.34,19029.72,17861.2,11039.22,4867.4,6160.82,5377.1,15014.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500744,唐山泓延文化传媒有限公司,0,0,0,0,0,0,27.6,15,12,3,3,16,14,24,7,13.4,4,8,27.2,7,12.4,6.4,24.8,4,11,4,8,8,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800049,北京科学技术出版社有限公司,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500743,西南大学出版社有限公司,0,0,0,0,0,57.6,50.4,24,20,17,17,31.8,26,89,22,28,0,12,9,13.8,6,32,7.4,8,4.8,4,9,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500742,辽宁书林文化传播有限公司,0,0,0,0,0,0,0,14,131.4,68,77,45,21,22.2,12,14,2,12,13,6,0,4,0,10,0,0,2,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500731,陕西奔跑加文化传播有限公司,0,0,0,0,8538,23101.2,3167.2,2365.6,2200.8,2729.2,2649.2,3876.6,6197,6056.8,7411.9,7082.68,7803.9,6369.9,872.79,1015.68,1361.2,2019.6,2025.45,2056.2,2545,1710.6,1978,3448.5,3030.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500741,河南省雅润天宏文化传媒有限公司,0,0,0,0,40,818,40,30,35,15,5,43,25,15,10,10,0,0,0,0,0,0,0,0,0,0,10,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
